OBJECTID,PIC,Facility_Name,Facility_Address,City,STATE,ZIP_Code,Operational_Designation,Source,Full_Address,Confidence,Low_Income,longitude,latitude
4277,8975,AWOYO GRANDE ARCO,100 BARNETT ST,ARROYO GRANDE,CALIFORNIA,93420,Service Station or Gas Station,ARB,,,,-120.58605404295957,35.12062503481768
4278,8590,LOS OSOS SHELL,995 LOS OSOS VALLEY RD,LOS OSOS,CALIFORNIA,93402,Service Station or Gas Station,ARB,,,,-120.83233392487057,35.311075269408356
4279,237,MESA VIEW MARKET,610 MESA VIEW DR,ARROYO GRANDE,CALIFORNIA,93420,Service Station or Gas Station,ARB,,,,-120.5866834298962,35.08089253895974
4280,236,ARROYO GRANDE VALERO,610 E GRAND AVE,ARROYO GRANDE,CALIFORNIA,93420,Service Station or Gas Station,ARB,,,,-120.5884126885945,35.1198339803541
4281,234,Arroyo Grande Shell,222 E GRAND AVE,ARROYO GRANDE,CALIFORNIA,93420,Service Station or Gas Station,ARB,,,,-120.58560182516393,35.120888231307006
4282,9249,PFG ARROYO GRANDE INC,251 E GRAND AVE,ARROYO GRANDE,CALIFORNIA,93420,Service Station or Gas Station,ARB,,,,-120.58491974514999,35.120943864268085
4283,235,Petro Grande Mobil,525 TRAFFIC WAY,ARROYO GRANDE,CALIFORNIA,93420,Service Station or Gas Station,ARB,,,,-120.5751706211272,35.118251759911026
4284,232,KATCH-GO PETROLEUM,1294 E GRANDE AVE,ARROYO GRANDE,CALIFORNIA,93420,Service Station or Gas Station,ARB,,,,-120.6037104956427,35.120808284275135
4285,233,GILL'S FOOD MART,1490 E GRAND AVE,ARROYO GRANDE,CALIFORNIA,93420,Service Station or Gas Station,ARB,,,,-120.60639659432725,35.12094568359663
4286,263,ATASCADERO 76,6305 MORRO RD,ATASCADERO,CALIFORNIA,93422,Service Station or Gas Station,ARB,,,,-120.6653060545306,35.48487566697859
